City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,2.77,90,100,4.12,US,1677961407
1,vaini,-21.2,-175.2,29.09,84,75,5.14,TO,1677961515
2,albany,42.6001,-73.9662,3.15,89,100,1.83,US,1677961253
3,ulladulla,-35.35,150.4667,17.49,92,12,2.85,AU,1677961516
4,igarka,67.4667,86.5833,-25.27,99,100,2.29,RU,1677961517
5,caravelas,-17.7125,-39.2481,27.03,67,45,3.38,BR,1677961517
6,los llanos de aridane,28.6585,-17.9182,17.86,91,20,0.89,ES,1677961518
7,rikitea,-23.1203,-134.9692,26.57,76,100,7.49,PF,1677961355
8,margate,51.3813,1.3862,6.61,82,100,5.88,GB,1677961332
9,carnarvon,-24.8667,113.6333,25.31,68,0,9.95,AU,1677961520
10,torbay,47.6666,-52.7314,-1.9,56,20,10.8,CA,1677961520
11,atuona,-9.8,-139.0333,26.63,80,14,6.45,PF,1677961521
12,dali,25.7,100.1833,8.56,53,0,1.81,CN,1677961522
13,qaanaaq,77.484,-69.3632,-12.32,45,0,3.81,GL,1677961308
14,hermanus,-34.4187,19.2345,19.33,92,100,4.6,ZA,1677961523
15,bluff,-46.6,168.3333,9.89,65,79,3.4,NZ,1677961297
16,castro,-24.7911,-50.0119,21.97,89,56,3.26,BR,1677961524
17,erenhot,43.6475,111.9767,1.66,28,55,4.73,CN,1677961525
18,mataura,-46.1927,168.8643,9.71,95,76,0.2,NZ,1677961526
19,dudinka,69.4058,86.1778,-24.66,98,100,2.64,RU,1677961526
20,claveria,18.6074,121.0832,20.25,83,86,5.94,PH,1677961527
21,port hardy,50.6996,-127.4199,7.1,70,40,4.12,CA,1677961495
22,butaritari,3.0707,172.7902,27.19,78,100,3.23,KI,1677961528
23,poum,-20.2333,164.0167,26.72,77,6,2.36,NC,1677961272
24,cape town,-33.9258,18.4232,22.99,80,75,2.57,ZA,1677960991
25,tuktoyaktuk,69.4541,-133.0374,-34.0,68,20,2.57,CA,1677961530
26,kemijarvi,66.7131,27.4306,-6.51,97,100,0.5,FI,1677961530
27,campoverde,-8.4753,-74.8058,30.83,50,98,1.79,PE,1677961531
28,tual,-5.6667,132.75,27.87,78,100,9.24,ID,1677961204
29,gat,31.61,34.7642,19.11,52,0,1.49,IL,1677961532
30,asuncion,-25.3007,-57.6359,33.83,52,75,2.06,PY,1677961479
31,chicama,-7.8447,-79.1469,25.3,57,95,4.98,PE,1677961533
32,olafsvik,64.8945,-23.7142,5.04,83,99,2.38,IS,1677961534
33,karratha,-20.7377,116.8463,29.1,73,95,4.28,AU,1677961311
34,mizdah,31.4451,12.9801,13.23,25,100,4.18,LY,1677961536
35,mar del plata,-38.0023,-57.5575,21.57,75,20,6.69,AR,1677961520
36,leningradskiy,69.3833,178.4167,-27.6,97,99,5.07,RU,1677961537
37,hami,42.8,93.45,6.88,30,11,3.29,CN,1677961538
38,pangnirtung,66.1451,-65.7125,-5.0,93,75,2.57,CA,1677961539
39,edgewater,28.9889,-80.9023,32.31,43,20,8.23,US,1677961169
40,beringovskiy,63.05,179.3167,-16.95,94,100,6.0,RU,1677961540
41,saint-philippe,-21.3585,55.7679,24.77,88,100,2.29,RE,1677961542
42,brazzaville,-4.2658,15.2832,27.91,68,77,0.79,CG,1677961543
43,cidreira,-30.1811,-50.2056,24.41,86,87,2.97,BR,1677961544
44,new norfolk,-42.7826,147.0587,15.95,74,100,0.23,AU,1677961544
45,ushuaia,-54.8,-68.3,7.81,61,75,9.26,AR,1677961524
46,tortoli,39.9256,9.6572,8.9,87,20,3.6,IT,1677961546
47,busselton,-33.65,115.3333,16.39,71,64,4.28,AU,1677961546
48,cherskiy,68.75,161.3,-40.53,97,45,1.27,RU,1677961547
49,port alfred,-33.5906,26.891,20.66,95,21,3.71,ZA,1677961548
50,bethel,41.3712,-73.414,6.68,75,100,4.12,US,1677961548
51,swan river,52.1058,-101.2676,-6.06,68,97,2.57,CA,1677961549
52,hualmay,-11.0964,-77.6139,25.09,73,47,4.31,PE,1677961550
53,hilo,19.7297,-155.09,25.06,85,75,2.06,US,1677961551
54,nikolskoye,59.7035,30.7861,-0.06,96,99,2.67,RU,1677961270
55,saskylakh,71.9167,114.0833,-30.26,100,95,1.34,RU,1677961552
56,chuy,-33.6971,-53.4616,25.56,57,42,4.18,UY,1677961553
57,havre-saint-pierre,50.2334,-63.5986,-5.0,63,0,8.23,CA,1677961554
58,khatanga,71.9667,102.5,-21.43,99,100,3.22,RU,1677961255
59,punta arenas,-53.15,-70.9167,9.06,57,75,5.66,CL,1677961013
60,hithadhoo,-0.6,73.0833,27.79,73,55,2.71,MV,1677961555
61,ancud,-41.8697,-73.8203,14.55,60,73,4.78,CL,1677961556
62,alofi,-19.0595,-169.9187,28.94,84,75,2.57,NU,1677961557
63,bambous virieux,-20.3428,57.7575,27.9,89,75,0.0,MU,1677961557
64,sola,-13.8833,167.55,27.8,78,31,9.4,VU,1677961558
65,lorengau,-2.0226,147.2712,25.83,85,100,4.63,PG,1677961552
66,greensburg,40.3015,-79.5389,10.38,68,75,5.14,US,1677961559
67,kulhudhuffushi,6.6221,73.07,27.17,73,6,3.11,MV,1677961559
68,rocha,-34.4833,-54.3333,28.67,48,30,4.77,UY,1677961466
69,bengkulu,-3.8004,102.2655,23.12,89,100,1.66,ID,1677961280
70,bud,39.447,-86.1758,13.75,49,62,3.51,US,1677961561
71,hervey bay,-25.2986,152.8535,22.93,78,55,5.04,AU,1677961561
72,port elizabeth,-33.918,25.5701,23.39,98,100,2.06,ZA,1677961271
73,villanueva de cordoba,38.3228,-4.6287,6.09,54,98,0.43,ES,1677961563
74,carutapera,-1.195,-46.02,26.74,85,99,2.8,BR,1677961564
75,cody,44.5263,-109.0565,-1.0,55,0,3.6,US,1677961565
76,lima,-12.0432,-77.0282,24.14,69,0,4.12,PE,1677960990
77,barrow,71.2906,-156.7887,-35.99,98,100,4.63,US,1677961272
78,kapaa,22.0752,-159.319,24.99,79,75,5.14,US,1677961567
79,frontera,26.9333,-101.45,28.51,10,0,0.89,MX,1677961568
80,fortuna,40.5982,-124.1573,9.25,94,40,4.63,US,1677961569
81,takoradi,4.8845,-1.7554,27.38,81,98,4.55,GH,1677961570
82,bandarbeyla,9.4942,50.8122,25.02,76,0,6.53,SO,1677961571
83,kaitangata,-46.2817,169.8464,10.49,81,69,1.47,NZ,1677961572
84,hambantota,6.1241,81.1185,25.29,84,99,6.43,LK,1677961573
85,jalu,29.0331,21.5482,17.86,61,53,8.62,LY,1677961574
86,mahon,39.8885,4.2658,7.31,81,20,2.57,ES,1677961574
87,cairns,-16.9167,145.7667,23.97,100,75,0.0,AU,1677961575
88,svetlyy,54.675,20.1347,1.09,58,99,9.16,RU,1677961576
89,aklavik,68.2191,-135.0107,-29.0,76,20,1.54,CA,1677961577
90,chambersburg,39.9376,-77.6611,10.55,59,79,3.58,US,1677961579
91,kodiak,57.79,-152.4072,0.73,40,0,4.12,US,1677961303
92,clarence town,-32.5833,151.7833,19.92,96,2,0.94,AU,1677961580
93,axim,4.8699,-2.2405,27.25,82,97,4.62,GH,1677961581
94,nanortalik,60.1432,-45.2371,3.44,85,88,7.87,GL,1677961581
95,avarua,-21.2078,-159.775,30.03,66,100,4.63,CK,1677961582
96,hobart,-42.8794,147.3294,16.14,93,75,1.03,AU,1677961541
97,jibuti,11.5,42.5,21.11,74,5,8.56,DJ,1677961584
98,cayenne,4.9333,-52.3333,28.02,74,100,5.14,GF,1677961408
99,pampa,35.5362,-100.9599,16.43,33,6,6.17,US,1677961585
100,adrar,20.5022,-10.0711,24.32,18,99,2.72,MR,1677961350
101,ponta delgada,37.7333,-25.6667,15.4,67,20,7.2,PT,1677961587
102,bredasdorp,-34.5322,20.0403,19.84,87,93,1.75,ZA,1677961588
103,araouane,18.9048,-3.5265,27.3,9,73,3.78,ML,1677961589
104,dikson,73.5069,80.5464,-20.62,96,100,3.95,RU,1677961590
105,mogok,22.9167,96.5,16.45,32,0,1.13,MM,1677961591
106,mayo,38.8876,-76.5119,14.17,47,0,8.23,US,1677961592
107,soyo,-6.1349,12.3689,26.51,78,99,3.39,AO,1677961593
108,talnakh,69.4865,88.3972,-24.89,99,100,1.21,RU,1677961594
109,north bend,43.4065,-124.2243,7.82,92,75,2.06,US,1677961595
110,soke,13.598,-5.9386,32.56,10,3,2.34,ML,1677961595
111,santiago del estero,-27.7951,-64.2615,36.35,26,0,1.61,AR,1677961597
112,hasaki,35.7333,140.8333,6.79,63,100,7.93,JP,1677961598
113,kavieng,-2.5744,150.7967,25.22,86,100,3.33,PG,1677961598
114,laguna de duero,41.5815,-4.7233,7.17,67,0,2.57,ES,1677961599
115,provideniya,64.3833,-173.3,-8.15,95,100,3.35,RU,1677961600
116,hay river,60.8156,-115.7999,-19.02,71,40,7.2,CA,1677961601
117,arraial do cabo,-22.9661,-42.0278,28.98,65,0,8.75,BR,1677961602
118,thompson,55.7435,-97.8558,-6.91,68,100,2.57,CA,1677961392
119,te anau,-45.4167,167.7167,8.23,89,68,1.52,NZ,1677961603
120,airai,-8.9266,125.4092,14.77,92,100,1.28,TL,1677961604
121,upernavik,72.7868,-56.1549,-12.09,80,99,3.61,GL,1677961604
122,san juan,-31.5375,-68.5364,33.98,16,0,2.9,AR,1677961552
123,souillac,-20.5167,57.5167,26.21,89,75,0.0,MU,1677961605
124,dharchula,29.85,80.5333,12.59,38,0,3.64,IN,1677961606
125,lufilufi,-13.8745,-171.5986,28.88,70,100,4.04,WS,1677961606
126,ribeira grande,38.5167,-28.7,16.22,72,75,11.18,PT,1677961607
127,varnavino,57.4035,45.0916,-11.15,99,94,1.59,RU,1677961608
128,dhidhdhoo,6.8833,73.1,27.18,70,5,1.8,MV,1677961609
129,quatre cocos,-20.2078,57.7625,27.83,83,100,3.95,MU,1677961609
130,cuiluan,47.72,128.648,-4.36,76,2,2.88,CN,1677961610
131,sao joao do piaui,-8.3581,-42.2467,30.79,46,76,0.82,BR,1677961611
132,northam,51.0333,-4.2167,4.78,71,8,1.13,GB,1677961155
133,narsaq,60.9167,-46.05,9.12,90,37,1.9,GL,1677961612
134,tabuk,17.4189,121.4443,18.53,85,98,3.33,PH,1677961422
135,ariyalur,11.1333,79.0833,21.92,89,4,2.92,IN,1677961613
136,aksu,41.1231,80.2644,7.11,41,8,1.69,CN,1677961613
137,esso,55.9333,158.7,-27.25,94,82,2.68,RU,1677961614
138,rio gallegos,-51.6226,-69.2181,12.03,32,100,6.17,AR,1677961615
139,malia,35.2833,25.4667,16.01,68,100,2.56,GR,1677961615
140,paita,-5.0892,-81.1144,27.28,64,11,6.41,PE,1677961616
141,sestri levante,44.2732,9.3968,13.37,76,10,1.34,IT,1677961616
142,warmbad,-28.45,18.7333,19.61,60,0,7.81,NA,1677961617
143,severo-yeniseyskiy,60.3725,93.0408,-14.49,91,100,4.49,RU,1677961618
144,ndende,-2.4008,11.3581,24.71,95,100,1.05,GA,1677961618
145,saint george,37.1041,-113.5841,9.68,48,75,1.79,US,1677961496
146,kenora,49.8167,-94.4337,1.54,60,20,4.12,CA,1677961619
147,hurghada,27.2574,33.8129,23.02,33,0,2.57,EG,1677961620
148,ucluelet,48.9329,-125.5528,5.61,81,100,4.2,CA,1677961620
149,broken hill,-31.95,141.4333,20.55,33,0,1.01,AU,1677961621
150,thinadhoo,0.5333,72.9333,27.74,72,78,3.12,MV,1677961622
151,rongcheng,30.634,117.8517,11.15,54,1,1.66,CN,1677961623
152,haines junction,60.7522,-137.5108,-14.03,47,89,4.63,CA,1677961623
153,urengoy,65.9667,78.3667,-26.91,99,60,3.17,RU,1677961624
154,turkan,40.3639,50.215,6.1,87,0,6.17,AZ,1677961625
155,sretensk,52.2453,117.7093,-10.82,95,100,1.41,RU,1677961626
156,antalaha,-14.9003,50.2788,24.82,93,100,1.93,MG,1677961628
157,alyangula,-13.8483,136.4192,25.85,82,100,8.19,AU,1677961629
158,ahipara,-35.1667,173.1667,18.83,73,79,5.35,NZ,1677961630
159,touros,-5.1989,-35.4608,27.73,72,86,6.63,BR,1677961631
160,mehamn,71.0357,27.8492,-2.05,86,100,12.35,NO,1677961631
161,port macquarie,-31.4333,152.9167,16.61,89,2,1.93,AU,1677961632
162,van buren,35.4368,-94.3483,17.98,59,0,3.6,US,1677961633
163,egvekinot,66.3167,-179.1667,-23.76,98,100,5.23,RU,1677961634
164,itaueira,-7.6033,-43.0256,31.58,46,78,1.58,BR,1677961635
165,lerwick,60.1545,-1.1494,2.0,83,100,5.89,GB,1677961636
166,fairbanks,64.8378,-147.7164,-19.32,73,0,1.54,US,1677961379
167,achalpur,21.2572,77.5086,27.83,26,89,1.42,IN,1677961637
168,mimongo,-1.6195,11.6068,21.88,94,93,0.64,GA,1677961638
169,kudahuvadhoo,2.6708,72.8944,27.16,75,74,5.04,MV,1677961639
170,kavaratti,10.5669,72.642,27.77,57,0,1.34,IN,1677961640
171,morant bay,17.8815,-76.4093,30.95,60,90,5.65,JM,1677961641
172,east london,-33.0153,27.9116,22.96,87,38,2.58,ZA,1677961376
173,chapais,49.7834,-74.8492,-1.12,77,100,1.43,CA,1677961519
174,palu,-0.8917,119.8707,23.56,95,100,0.81,ID,1677961643
175,lebu,-37.6167,-73.65,16.58,61,0,8.08,CL,1677961381
176,guarapari,-20.6667,-40.4975,27.16,68,1,6.36,BR,1677961646
177,cabo san lucas,22.8909,-109.9124,24.23,56,0,5.14,MX,1677961646
178,vostok,46.4856,135.8833,-11.53,91,7,2.73,RU,1677961561
179,ascension,30.2169,-90.9001,25.05,39,0,2.06,US,1677961647
180,mercedes,-34.6515,-59.4307,36.03,22,2,3.59,AR,1677961469
181,mount isa,-20.7333,139.5,22.87,100,80,2.06,AU,1677961649
182,vokhma,58.9303,46.7586,-9.39,98,99,1.34,RU,1677961650
183,koslan,63.4564,48.8989,-24.98,100,100,1.33,RU,1677961651
184,laguna,38.421,-121.4238,10.6,79,100,9.77,US,1677961512
185,dingle,10.9995,122.6711,23.5,88,82,4.45,PH,1677961653
186,esperance,-33.8667,121.9,18.57,64,96,7.64,AU,1677961654
187,sao filipe,14.8961,-24.4956,23.01,63,1,4.07,CV,1677961655
188,puerto ayora,-0.7393,-90.3518,28.98,86,62,3.13,EC,1677961503
189,kalmunai,7.4167,81.8167,24.74,88,100,3.49,LK,1677961657
190,riohacha,11.5444,-72.9072,24.06,83,20,8.23,CO,1677961657
191,cartagena,10.3997,-75.5144,29.79,70,40,3.09,CO,1677961658
192,eureka,40.8021,-124.1637,9.4,82,100,2.24,US,1677961659
193,georgetown,5.4112,100.3354,25.96,80,20,3.09,MY,1677961660
194,qasigiannguit,68.8193,-51.1922,4.14,84,97,1.45,GL,1677961661
195,clyde river,70.4692,-68.5914,-16.87,60,100,3.6,CA,1677961661
196,tahe,52.3333,124.7333,1.06,64,100,4.85,CN,1677961662
197,pevek,69.7008,170.3133,-33.29,94,100,1.83,RU,1677961662
198,yellowknife,62.456,-114.3525,-23.58,64,40,6.17,CA,1677961663
199,nakamura,32.9833,132.9333,7.39,83,56,1.29,JP,1677961664
200,alugan,12.2188,125.4808,24.6,86,39,4.49,PH,1677961664
201,lata,40.1629,-8.3327,12.67,72,100,0.61,PT,1677961665
202,geraldton,-28.7667,114.6,18.23,77,0,4.12,AU,1677961666
203,epe,6.5841,3.9834,27.01,82,39,2.65,NG,1677961386
204,domoni,-12.2569,44.5319,27.07,86,97,5.12,KM,1677961667
205,pitkyaranta,61.5734,31.4792,-6.15,94,88,3.77,RU,1677961667
206,conde,-7.2597,-34.9075,28.7,70,20,5.66,BR,1677961668
207,namibe,-15.1961,12.1522,21.0,71,0,4.57,AO,1677961668
208,sao joao da barra,-21.6403,-41.0511,29.05,81,27,7.48,BR,1677961669
209,rio brilhante,-21.8019,-54.5464,28.95,77,11,2.1,BR,1677961670
210,dalvik,65.9702,-18.5286,3.96,96,100,3.35,IS,1677961671
211,tura,25.5198,90.2201,20.14,42,0,1.25,IN,1677961413
212,moron,-34.6534,-58.6198,30.94,66,78,4.51,AR,1677961672
213,huarmey,-10.0681,-78.1522,25.7,73,60,4.51,PE,1677961661
214,santarem,-2.4431,-54.7083,29.07,84,40,5.66,BR,1677961400
215,jugsalai,22.7667,86.1833,23.9,25,0,1.42,IN,1677961673
216,belyy yar,53.6039,91.3903,-5.06,72,0,6.0,RU,1677961674
217,genhe,50.7833,121.5167,-8.31,93,65,2.12,CN,1677961674
218,tamiahua,21.2667,-97.45,25.37,57,3,4.44,MX,1677961675
219,srostki,52.4189,85.7022,-10.63,87,100,2.0,RU,1677961676
220,ust-kuyga,70.0167,135.6,-21.8,99,100,2.21,RU,1677961676
221,williams lake,52.1415,-122.1445,-0.24,60,20,3.09,CA,1677961678
222,lodwar,3.1191,35.5973,31.66,31,52,6.44,KE,1677961678
223,port hedland,-20.3167,118.5667,27.03,78,100,2.57,AU,1677961578
224,toda raisingh,26.0252,75.4849,22.2,39,48,1.04,IN,1677961679
225,tuatapere,-46.1333,167.6833,9.67,85,100,0.89,NZ,1677961680
226,camapua,-19.5314,-54.0439,29.18,68,13,0.49,BR,1677961681
227,sitka,57.0531,-135.33,2.94,48,40,1.54,US,1677961681
228,portland,45.5234,-122.6762,8.58,77,75,7.72,US,1677960934
229,ambad,19.6167,75.8,27.44,26,42,2.91,IN,1677961683
230,necochea,-38.5473,-58.7368,20.4,39,4,6.06,AR,1677961562
231,constitucion,-35.3333,-72.4167,22.59,48,10,7.84,CL,1677961684
232,miraflores,19.2167,-98.8083,27.36,18,3,2.61,MX,1677961685
233,bulungu,-4.55,18.6,25.13,71,100,1.56,CD,1677961686
234,altay,47.8667,88.1167,-5.94,69,100,3.12,CN,1677961392
235,broome,42.2506,-75.833,2.79,83,100,6.17,US,1677961688
236,carballo,43.213,-8.691,11.68,90,0,1.09,ES,1677961688
237,luderitz,-26.6481,15.1594,16.82,86,0,2.38,NA,1677961689
238,tautira,-17.7333,-149.15,26.6,78,100,3.77,PF,1677961690
239,pyapon,16.2833,95.6833,23.47,63,0,2.09,MM,1677961691
240,brae,60.3964,-1.353,2.36,82,100,5.83,GB,1677961692
241,luneville,48.6,6.5,4.21,88,32,2.82,FR,1677961694
242,de-kastri,51.4667,140.7833,-9.57,88,100,1.78,RU,1677961695
243,tasiilaq,65.6145,-37.6368,0.09,96,78,2.08,GL,1677961696
244,yangjiang,21.85,111.9667,16.89,86,1,1.28,CN,1677961696
245,praia,14.9215,-23.5087,24.3,53,40,7.72,CV,1677961697
246,hvide sande,56.0045,8.1294,2.83,69,100,11.98,DK,1677961698
247,shellbrook,53.2168,-106.4011,-10.43,82,100,3.0,CA,1677961699
248,missungwi,-2.85,33.0833,19.84,84,96,0.97,TZ,1677961700
249,fayaoue,-20.65,166.5333,26.92,78,23,8.39,NC,1677961700
250,grand gaube,-20.0064,57.6608,27.99,77,100,2.68,MU,1677961702
251,khandbari,27.3747,87.2039,15.58,58,25,1.56,NP,1677961702
252,oni,42.5794,43.4425,3.67,98,100,1.04,GE,1677961703
253,namatanai,-3.6667,152.4333,24.19,89,100,2.28,PG,1677961704
254,chernushka,56.5072,56.0766,-1.94,97,100,4.05,RU,1677961705
255,mahuva,21.0914,71.7622,26.21,44,4,3.75,IN,1677961706
256,sur,22.5667,59.5289,24.5,57,8,3.62,OM,1677961164
257,kahului,20.8947,-156.47,24.36,77,40,6.69,US,1677961708
258,verkhnevilyuysk,63.4453,120.3167,-12.79,92,96,3.81,RU,1677961709
259,san cristobal,7.7669,-72.225,27.1,57,88,2.48,VE,1677961710
260,bom jardim,-7.7958,-35.5872,28.89,52,22,6.99,BR,1677961711
261,longyearbyen,78.2186,15.6401,-15.09,56,75,9.26,SJ,1677961699
262,ambulu,-8.345,113.6058,23.75,91,100,1.23,ID,1677961713
263,ponta do sol,32.6667,-17.1,20.0,89,49,1.7,PT,1677961714
264,soure,-0.7167,-48.5233,26.35,83,100,3.71,BR,1677961715
265,novogurovskiy,54.4678,37.3428,-3.44,92,100,5.05,RU,1677961450
266,ahuimanu,21.4447,-157.8378,25.84,71,40,4.63,US,1677961718
267,mount gambier,-37.8333,140.7667,11.52,96,5,2.09,AU,1677961719
268,almeirim,-1.5233,-52.5817,26.72,76,98,2.68,BR,1677961721
269,odienne,9.51,-7.5692,31.04,34,31,1.83,CI,1677961722
270,taywarah,33.35,64.4167,2.11,67,5,0.81,AF,1677961723
